Sl No.,RCA Serial No.,Failure Date,Reported Date,RCA Date,Division,Equipment,Impact on topline (Rs.),Downtime (hrs),Event Description/ Problem Statement,RCA Report,Root Cause,Actions,CAPA,HD  (Y/N),Target date,Responsibility,Actual Complete Date,Status,Remarks
84,RCA/P2/84/2025,10-Sep-2024,13-Sep-2024,29-Aug-2025,Pellet 2,TG / STRIPPER PLATE,"₹93,948,400",94, HIGH SPILLINGS ON THE RETURN SIDE OF TRAVELLING GRATE (TG).,Refer attachment,SHOOTING UP OF PH 2 ZONE TEMP DURING START UP.,"In view of the criticality & severity of its impact on profitability, the option of importing it from the OEM should  be considered. 
",CA,,,  Mr.   Sahil,,Completed,Indent raised from OEM.
0, RCA/P2/D2/2025 (Departmental RCA),,,10-07-2025,Pellet 2,TG MD-4,,18 Min,TG MD-4 Stopped Working Due to Motor Coil Burning.,RCA LINK,"As Per The Process need Motor Speed is Increased From 100% to 130% in VFD. 
The Installed Gear Box Might Not be Permissive to Run at Increased Speed, Which Might be a Reason of High Axial Jerk Which Ultimately Affected the Performance of The Gear Box.
Due to Degradation of Performance of The Gear Box, All The Loads Came on to the Motor Which Might Damage the Motor Bearings & Ultimately Resulting in Motor Coil Burning.
Due to All the Above Phenomenon TG Feed Stopped Hence Production Loss.
Other 3 Main Drive units are Having Similar Type of Abnormalities Which are Kept Under Observation.","1. As the TG is Running Condition, So The Motor & Gear Box Units are Can Not be Dismantled for Checking, So Further Checking will be Done While Opportunity Shutdown Only.

2. Motor Replacement Will be Done During This Opportunity Only.",,,10-07-2025,Mr. Bhajahari Das,,Completed,
0, RCA/P2/D1/2025 (Departmental RCA),16-02-25,16-02-25,17-02-25,Pellet 2,DISC FEEDER 2,,,ABNORMAL SOUND  FROM THE DISC FEEDER GEARBOX.,,Oil distributer outlet line toward the output bearing of gearbox found jam.,Proper arrangement  for inspection of lubrication to be provided. Gearbox with pinion replacement and new oil top up. ,,,18-Feb-2025,Mr. Nitish Kr,18-Feb-2025,Completed,"Gauge provided in front of visual inspection of lubrication , Cover of girth gear cut in three piece for proper inspection of gears during preventive."
40,RCA/PGP/40/2023,14-Aug-2023,,30-Aug-2023,PGP,Charging system,"₹320,000",66,SHEARING OF  CONNECTING  LINK  PIN  OF  DOUBLE  CONE  DRIVE.,Refer attachment,1. RAPID OPERATION OF PNEUMATIC CYLINDER,Operation  of the pneumatic cylinder  to be  slowed  down,CA,,04-Aug-2023,Mr. Ashis Sahoo,,Completed,Work done in PGP unit #7.
48,RCA/PGP/48/2023,Cont.,,17-Nov-2023,PGP,Ash  conveyor,₹0,0,SPILLAGE FROM PGP ASH CONVEYOR (Near PGP unit #4),Refer attachment,DEFECTIVE SKIRT AND SKIRT GUARD DESIGN.,Ash feeding  chute  (PGP#5 side)  to be modified as suggested,CA,,27-Nov-2023,Mr. Anurag Ray,09-Dec-2023,Completed,"Modification done in PGP 
unit #5."
54,RCA/PGP/54/2024,,,29-Jan-2024,PGP,Pgp #4 grate ring,"₹1,421,800",289,GRATE  RING  BREAKDOWN,Refer attachment,MISMATCHED GRATE RING SEGMENTS AND USE OF UNDER SIZE BOLTS.,Grate ring assembly should always be replaced as a set. A set of grating to be assembled outside and kept in ready to use condition. M24 bolt grade 10.9 to be used strictly in assembling the grate rings. Its segments should be marked for identification. It should be dismantled and then assembled back inside reactor  matching markings.  This practice should be followed.,,,31-May-2024,Mr. Anurag Ray,,Completed,Grate ring received on 31-08-2024.
63,RCA/PGP/63/2024,,01-Apr-2024,15-Apr-2024,PGP,New PGP ash conveyor (BC #3),-,-,CONTINUOUS  SPILLAGES  FROM  ASH CONVEYOR  BC # 3.,Refer attachment,INCORRECT  POSITIONING OF  DRIVE PULLEY.,500 mm secondary scraper to be  arranged  /  indented.,,,20-Apr-2024,Mr. Anurag Ray,,Completed,
65,RCA/PGP/65/2024,,,29-Apr-2024,PGP,New PGP ash conveyor (BC #4),-,-,CONTINUOUS  SPILLAGES  FROM  ASH CONVEYOR  BC # 4.,Refer attachment,INCORRECT  POSITIONING OF  DRIVE PULLEY DURING  ERECTION.,500 /650 mm primary and secondary scrapers to be  arranged  /  indented.,,,04-May-2024,Mr. Anurag Ray,,Completed,Indent raised for 650 mm primary scraper. Indent no.: I124508-010 Dated: 08/05/2024
68,RCA/PGP/68/2024,,21-May-2024,10-Jun-2024,PGP,PGP unit #2,-,"90 days
(In 2023-24)",WATER LEAKAGE FROM THE REACTOR SHELL DUE TO DEVELOPMENT OF CRACKS IN THE WELD JOINT.,Refer attachment, SOFTENER  NOT  BEING  OPERATED  IN LINE  WITH THE  OEM  GUIDELINES.,"Brine  dozing and   rinsing  process  as explained (refer page- 7 of RCA ) to be strictly followed to dispose  scale forming salts, separated in softener  through drain. Presently, it is not drained out but taken back into the system.  This is the root cause of scale formation in all PGP units.",,,15-Jun-2024,Mr. Vikendra Singh,,Completed,
70,RCA/PGP/70/2024,,,23-Jul-2024,PGP,Main ash conveyor,-,-,SPILLAGES  FROM  PGP  MAIN  ASH  CONVEYOR.,Refer attachment,IMPROPER  BELT  MAINTENANCE.,Gravity take up correction  to be done for improving belt tension.,CA,,14-Aug-2024,Mr. Upendra Mohanta,,Completed,Gravity take up counter weight reduced.
21,RCA/PP/21/2023,07-Mar-2023,,14-Mar-2023,POWER PLANT,Turbine & generator,---,0.6,POWERPLANT TRIPPING,Refer attachment,FAILURE OF UPS,Bypass line and main line  to be remain active. UPS to be made reliable,CA,,28-Mar-2023,Mr. S. Ghosh,,Completed,Bypass line are activated.
47,RCA/PP/47/2023,12-Oct-2023,20-Oct-2023,10-Nov-2023,POWER PLANT,Compressor #2,---,114,COMPRESSOR #2  AIR END  ASSEMBLY  GOT SEIZED.,Refer attachment,NON ADHERENCE  TO  OEM’S RECOMMENDATIONS.,"Compressor’s current running hours and  hours  due for replacement of lube oil, air filter, oil filter and air oil separator to be displayed in compressor room for both compressors. Display shall also include available stock of items required for replacement. This shall  be updated on the first  day of every month.",PA,,01-Dec-2023,Mr. Jay Prakash,,Completed,Refer image
62,RCA/PP/62/2024,16-Mar-2024,18-Mar-2024,05-Apr-2024,POWER PLANT,Turbo Generator,"₹11,218,746",7,TURBO GENERATOR(TG) OF CAPTIVE POWER PLANT (CPP) TRIPPED.,Refer attachment,LOOSENESS  IN  COMMUNICATION  CABLE.,All BNC male twist-on connectors (16 nos)  to be replaced.,CA,,Next  S/D,Mr. Gajendra Swain,,Incomplete,Planned to be done during next shutdown.
73,RCA/PP/73/2024,10-Sep-2024,13-Sep-2024,03-Oct-2024,POWER PLANT,New Boiler-1,---,264,WHRB-1 (650 TPD  DRI UNIT) WATER WALL FAILURE.,Refer attachment,ID FAN DID NOT TRIP ON LOW DRUM LEVEL.,"All boiler interlocks to be listed with set values, tested and documented duly signed by all concerned.",CA,,20-Oct-2024,Mr. D. D. Tyagi,,Incomplete,"As informed by Mr. D.D.Tyagi, Interlocks are done, but documentations are yet to be done."
83,RCA/SMS-1/83/2025,10-Sep-2024,13-Sep-2024,26-Aug-2025,SMS-1,INDUCTION  FURNACE-3A,"₹2,288,750",600,EXPLOSION IN FURNACE-3A,Refer attachment,SUPERVISION LAPSES,An SOP to be developed  after deliberation with  the SMS team to handle  similar  emergency  situation.,CA,,05-Sep-2025,Mr. Amrish Kumar,,Completed,
81,RCA/SMS-2/81/2025,10-Sep-2024,13-Sep-2024,14-Jun-2025,SMS-2,INDUCTION  FURNACE  (1- 5 ),"₹50,202,085",Process improvement,HIGH  FURNACE  HOLDING  TIME  FOR SEQUENCE  MATCHING.,Refer attachment,"FURNACE  HOLDING   FOR  SEQUENCE   MATCHING.
FURNACE  CHARGING  PRACTICES.
",Deployment of  ball breaker  to  limit the maximum dimension of the pooled iron  within 500 mm / use of pig iron based on cost viability.,CA,,30-Jun-2025,Mr. Avinash Chandan,,Completed,
85,RCA/SMS-2/85/2025,10-Sep-2024,13-Sep-2024,18-Oct-2025,SMS-2,COOLING WATER SYSTEM,₹ 5184000 /year,4,TRIPPING OF  INDUCTION FURNACE   DUE  TO  HIGH COOLING WATER TEMP.,Refer attachment,POOR HEAT TRANSFER IN COOLING TOWERS AND PLATE HEAT EXCHANGERS.,Plate heat exchangers supplying water for power panel cooling to be cleaned to clear off the deposits to improve heat transfer.  It is suggested to have a spare PHE in ready-to-use condition.,CA,,20-Apr-2026,Mr. Avinash Chandan,,Completed,
86,RCA/SMS-1/86/2025,,,08-Nov-2025,SMS-1,FURNACE-1,₹ 2478000 / year,15.1,FURNACE  COIL  PUNCTURE.,Refer attachment,"1.  AGING SEEMS THE REASON BECAUSE THE COILS HAVE BEEN REPAIRED EARLIER.
2. BLOCKAGE BUT RISE IN WATER TEMP COULD NOT BE SENSED DUE TO INCORRECT LOCATION OF COOLING WATER  TEMP SENSOR.",The ball valve assembly along with the connected nipples is to be replaced. Both end nipples shall be of brass MOC and the ball valve shall have a provision for inserting a temperature sensor at the inlet end.,,,10-Jan-2026,Mr. Tapas Palui,,Incomplete,
0,RCA/CPP 2/D3/2026,,,09-Jan-2026,CPP 2,ID FAN,,,ID FAN DRAFT VARIATION IN  WHRBs,Refer attachment,"it is conclusive that the behaviour of both the ID fans is similar and if any of the fan is developing a higher draft with the same RPM then it could be because of higher pressure drop in the system, mainly in the ducting where possibility of dust accumulation is higher or if the gas generation itself is lower due to whatever reason.",,,,,,,Completed,
