#,Date of incident,Area,Department,Equipment,Description of Breakdown/Case,Effected time (Minute),Impact on production,Action taken, RCA Status,Date of RCA,Link,Root Cause,CAPA,Responsible,Due date,Status of CAPA,Actual date,Remark,Remark of RCA team,RCA team required,Date of intimation
72,7-Jul-25,Pellet-2,E & I,proportinate,Disc feeder-5 stopped due to weigh feeder tachometer cable damage ,54,No,,Done,,Refer attachment,"Due to Accumulation of Spillage Materials Proportionate WF-1 Tacho Sensor Cable Was Damaged Due to Which it Stopped Running, as Tacho Sensor Was In-Line With Motor Run Feedback.","Operation Dept Were Informed to Keep The Machine & Electrical Equipment Clean & Arrest Any Material Spillage.

Also, E&I Dept Increased Their Cleaning Frequency of the Machine.",Mr. Bhajahari Das,,Done,,,,,
73,7-Jul-25,Pellet-1,E & I,HR fan-1,tripped 4 times due to high current,37,No,Relay Replaced With Auxillary Contactor,Done,,Refer attachment,"After Long Term of Usage of Relay for Run Feed Back Relay Coil Was Burnt Due to Which HR Fan-1 Was Not Able to Run & Tripping Frequently.","In Place of Relay, One Auxiliary Contactor Was Installed.",Mr. Bhajahari Das,,Done,,,,,
74,7-Jul-25,Pellet-1,Process,Balling Disc-1,tripped due to jamm,45,Speed loss,,Not done,,,,,,,,,,,,
75,8-Jul-25,Pellet-2,Mechanical,Lime pipe,"pipe line damage, bend replaced",106,No,Bend replaced,Done,7-Sep-25,Refer attachment,Bend thickness reduce,,,,,,,,,
76,8-Jul-25,Pellet-2,E & I,Balling Disc-2,Primary scrapper bearing inspection,44,Speed loss,,Done,,Refer attachment,"As Per Process Need Balling Disc Angles are Changed.
With the Change in Angle BD Run For a Long Period of Time.
After Long Time Running Scrapper Leg Gap is Decreased Which Resulted in Heavy Jerking From Bottom End Which Ultimately Damaged the Motor Shaft & Housing.","Mechanical Crew Informed to Check The Scrapper Legs During Every PM.",Mr. Bhajahari Das,,Done,,,,,
77,8-Jul-25,BNFC,Mechanical,FP-3,Damaged track Bar replacement,405,Speed loss,Bar repalced by welding ,Done,22-Jul-25,~$RCA- Filter press -  track bar.pptx,Due to low lubrication track was damaged,Damaged Track bar was replaced by new one,Mr Debashis Jena,15-Jul-25,Done,10-Jul-25,,,,
78,8-Jul-25,Pellet-1,E & I,Proportionate,"WF-1 stopped,motor tacho cable broken by material spillage over it.",50,No,,Not required,,,,,,,,,It was not required by Process to start at that time ,,,
79,8-Jul-25,Pellet-2,Mechanical,C-15,Belt pasting,67,No,,Not required,,,,,,,,,as per dept. no work was done. stone was stucked due to LD sludge used,,,
80,9-Jul-25,Pellet-2,Mechanical,C-12,Belt pasting,65,No,,Done,,Refer attachment,,,,,,,,,,
81,9-Jul-25,Pellet-2,Mechanical,Compressor-6,tripped,36,No,,Done,,Refer attachment,,,,,,,,,,
82,9-Jul-25,BNFC,Mechanical,Filter Press-1,"drive side shifter chain broken, re joint work done",65,No,Chain rejoint work done,Done,22-Jul-25,Refer attachment,Chain tension loose and low lub ,1 nos Shifter chain link replaced with new one.,Mr Debashis Jena,15-Jul-25,Done,12-Jul-25,,,,
83,9-Jul-25,Pellet-2,Mechanical,FC-5A,belt torn out due to stone stuck on chute,220,Speed loss,Belt replaced,Done,7-Oct-25,Refer attachment,due to LD sludge feeding ,,,,,,,,,
84,10-Jul-25,Pellet-2,Mechanical,Balling Disc-2,"stopped, gear box inspection",107,Speed loss,,Done,,Refer attachment,,,,,,,,,,
85,11-Jul-25,Pellet-2,E & I,Balling disc-2,primary scrapper motor replacement,38,Speed loss,,Done,,Refer attachment,"As Per Process Need Balling Disc Angles are Changed.
With the Change in Angle BD Run For a Long Period of Time.
After Long Time Running Scrapper Leg Gap is Decreased Which Resulted in Heavy Jerking From Bottom End Which Ultimately Damaged the Motor Shaft & Housing.","Mechanical Crew Informed to Check The Scrapper Legs During Every PM.",Mr. Bhajahari Das,,Done,,,,,
86,11-Jul-25,Pellet-2,Mechanical,Proportinate Disc feeder -4,Found the spillage from proportoonate DIsc feeder 4,93,No,"1) Disc edge structure fitted, in right round",Done,12-Jul-25,Refer attachment,"Since the transition piece centre  is out , Its flat plate are not able to stop the spillage ",1) disc edge structure fitted in right hand ,NITISH KUMAR,,Done,,,,,
,,,,,,,,,,,,,2) also fitted stiff belt in the structure,,,Done,,,,,
87,12-Jul-25,BNFC,Mechanical,FP-3,both side shifter chain broken,95,No,Shifter Chain link was relaced,Done,22-Jul-25,Refer attachment,Chain tension loose and low lub ,Damaged chain link was replaced and tension was properly adjusted.,Mr Debashis Jena,20-Jul-25,Done,17-Jul-25,,,,
88,14-Jul-25,BNFC,Mechanical,DD Screen -1 ,Oversize diverter plate support was broken,180,Stop,Support was welded ,Done,22-Jul-25,~$RCA- DD screen - 1.pptx,Due to heavy and O/s material diverter plate support broken and material jam was occured,Support was provided to Diverter plate,Mr Debashis Jena,22-Jul-25,Done,19-Jul-25,,,,
89,14-Jul-25,Pellet-1,E & I,PC-1 ,Dewatering pump was not running ,270,No,,Not required,,,,,,,,,,,,
90,14-Jul-25,Pellet-1,Mechanical,FK pump,showing running in DCS but stopped on field,228,Speed loss,,Done,,Refer attachment,,,,,,,,,,
91,14-Jul-25,Pellet-1,Mechanical,Bento conveying,stopped due to pipeline jammed,273,No,Cleaning the pipe line ,Done,19-Jul-25,Refer attachment,Due to Absence of Dry Air Compressor Bentonite Conveying Pipeline Regularly Getting Jam.,1. Additional Pipe Line To Be Provided (Pipe Already Indented),,,Done,,,,,
,,,,,,,,,,,,,2. Heat Racer To Be Provided by Electrical Team.,,,Done,,,,,
92,15-Jul-25,PGP,Mechanical,Secondary screen,Secondary screen stop,124,No,Drive side bearing replacement work done,Done,15-Jul-25,Refer attachment,drive side bearing damaged,,,,,,,,,
93,16-Jul-25,Pellet-2,Process,PCI-2,Excessive moisture casused pipeline jamming,176,No,,Done,,Refer attachment,,,,,,,,,,
94,16-Jul-25,Pellet-2,Process,Mixer,Feed stopped due to empty coke bin level ,53,No,,Not required,,, ,,,,,,,,,
95,17-Jul-25,BNFC,Mechanical,FEED PUMP-7,gland rope damage,135,No,Gland rope was changed,Done,22-Jul-25,Refer attachment,Gland rope got damaged due to continuous operation under slurry pressure without timely replacement or condition monitoring.,1.Replace gland rope immediately.,Mr Debashis Jena,25-Jul-25,Done,22-Jul-25,,,,
,,,,,,,,,,,,,2.Include gland rope condition check during planned shutdowns.,,,Done,,,,,
,,,,,,,,,,,,,3.Train operators to report early signs of gland leakage,,,Done,,,,,
,,,,,,,,,,,,,4.Maintain logbook for gland rope replacement and pump operation hours.,,,Done,,,,,
,,,,,,,,,,,,,5.Ensure proper gland packing during every maintenance activity.,,,Done,,,,,
96,17-Jul-25,Pellet-1,Mechanical,PC-6 trolley,"stopped, gearbox jammed",79,No,"1. The foreign material removed from the gearbox.
2. The existing oil drained out and replaced it with new oil.",Done,19-Jul-25,Refer attachment,"Loosening of oil filling cap bolts, allowing pellets to enter into the gearbox and cause jamming.", 1. The foreign material removed from the gearbox and ensuring it is functioning properly before resuming operations.The loose bolt on the oil filling cap is replaced to secure it properly.,Mr. S K Muduli,17-Jul-25,Done,17-Jul-25,,,,
,,,,,,,,,,,,,2. Drain the existing oil and replace it with new oil.,,,Done,,,,,
,,,,,,,,,,,,,"3.Regular inspections of all critical components, including oil filling caps and bolts need to be done.",,,Done,,,,,
,,,,,,,,,,,,,4.Consider redesigning the oil filling cap with a more secure fastening mechanism to prevent loosening in the future.,,,Done,,,,,
97,18-Jul-25,Pellet-1,Mechanical,Multicore,v belt broken ,235,Speed loss,V-belt replacement done,Done,20-Jul-25,Refer attachment,V- belt damaged due to material overload resulting in excessive impact on the v-belt,1. Damaged V-belt replacement done,"Mr. Raghu V. 
 & 
Mr. S K Muduli",18-Jul-25,Done,,,,,
,,,,,,,,,,,,,2. Monitoring of material loads required to prevent overloads.,,,Done,,,,,
98,18-Jul-25,Pellet-2,Mechanical,FC-6,"Brely side edge torn out, 1nos. return roller, 1 nos. press roller ",90,No,,Done,,Refer attachment,,,,,,,,,,
99,18-Jul-25,Pellet-2,Process,PCI LIW feeder,overload tripped,78,No,,Done,,Refer attachment,,,,,,,,,,
100,19-Jul-25,Pellet-1,Mechanical,Proportiante,ESP and MTC-1 conveying stopped due to leakage arresting work,88,No,Pipeline bend puncture patching work completed,Done,21-Jul-25,Refer attachment,"Prolonged use and wear and tear of pipeline bend, resulting in reduced thickness and leakage.",1. Pipeline bend puncture patching work completed.,Mr. S.K. Muduli,19-Jul-25,Done,19-Jul-25,,,,
,,,,,,,,,,,,,2. Implement a replacement plan for worn-out pipeline bends.,,,Done,,,,,
,,,,,,,,,,,,,3. Worn-out pipeline bends will be replaced in shutdown,,,Done,,,,,
101,19-Jul-25,BNFC,Process,Old thickener,high torque,113,Stop,,Done,20-Jul-25,Refer attachment,Thickener material poor settling.,1.Increase flocculant preparation from -0.05 % to 0.1 %.,Mr Manish Kumar Singh,20-Jul-25,Done,20-Jul-25,,,,
102,19-Jul-25,Pellet-2,Mechanical,PCI-2 Fk Pump,"screw jam, NRV limit handle was broken",50,No,,Done,,Refer attachment,,,,,Done,,,,,
103,20-Jul-25,Pellet-1,Mechanical,ESP 2,"conveying stopped due to ESP-2 dome valve seal damage, replaced",200,No,Dome seal replacement work done,Done,22-Jul-25,Refer attachment,Improper dome valve closure and aging of the dome seal.,1. New dome seal replacement completed.,"Mr. S K Muduli 
&
Mr. Bhajahari Das",25-Jul-25,Done,25-Jul-25,,,,
,,,,,,,,,,,,,2. Ensuring valves are fully closed during operation,,,Done,,,,,
,,,,,,,,,,,,,3. Scheduled replacemetn plan for dome valve need to be implemented.,,,Done,,,,,
104,20-Jul-25,Pellet-1,Mechanical,Kiln Chair plate,Kiln I/L 1 No Chair Plate Broken,27,Stop,A rib has been provided for locking the broken chair plate.,Done,22-Jul-25,Refer attachment,Aging of the components,1.A rib has been provided for locking the broken chair plate..,Mr. S K Muduli,20-Jul-25,Done,20-Jul-25,,,,
,,,,,,,,,,,,,2. Planned for replacement of all chair plates during the mega shutdown,,,Done,,,,,
,,,,,,,,,,,,,3. Scheduled replacemetn plan for chair plate need to be implemented.,,,Done,,,,,
105,21-Jul-25,BNFC,E & I,HT ball Mill,Feed stopped due to feed end LP pressure drop,60,Stop,"Auto manual selection pla relay was malfunctioning ,so auxiliary contactor installed ",Done,22-Jul-25,Refer attachment,"Due to Manufacturing Defect, NO/NC Contact Point Damaged During Operation Resulting to Stop HT Ball Mill.","In Place of the PLA Relay, Heavy Duty Auxiliary Contactor was Installed Which Will Provide More Robust Operation During Running.",Mr Siddhartha Mahapatra,28-Jul-25,Done,25-Jul-25,,,,
106,22-Jul-25,BNFC,Mechanical,DD Screen-1,lower deck screen mesh gap increased,135,Stop,Gaps were covered up by rubber lagging,Done,22-Jul-25,Refer attachment,"The mesh loosened due to heavy vibration during start-up, which led to progressive clamp wear and tension loss during normal operation.",Filled the gaps between the mesh and frame with rubber lagging (Solution-310) to prevent material leakage,Mr Debashis Jena,25-Jul-25,Done,23-Jul-25,,,,
107,23-Jul-25,Pellet-2,E & I,C-12,tripped ,161,No,Motor changed,Not required,,,,,,,,,As per dept. it is planned mainenance,,,
108,23-Jul-25,BNFC,E & I,NFC-1D,Abnormal sound coming form motor,240,No,Motor changed,Not required,,,,,,,,,As per dept. it is planned mainenance,,,
109,24-Jul-25,Pellet-2,Process,C-9,Pull cord activated,,Stop,Cover on the pull cord,Done,24-Jul-25,C9 Pullchord,,,,,Under progress,,,,,
110,24-Jul-25,BNFC,Mechanical,HT ball Mill,pump dischrge line heavy leakage,165,Stop,Short pipe where leakage occured was replace by new spare one,Done,29-Jul-25,RCA_HT_BALLMILL_DISCHARGE.pptx,Thickness of pipe was less,"The leaking HDPE pipe section was replaced with a new, defect-free piece ensuring proper alignment and fit.",Mr Debashis Jena,27-Jul-25,Done,26-Jul-25,,,,
111,24-Jul-25,BNFC,Process,CKT-1 ,feed stopped due to oversize bin jam,90,Stop,Optimize screen efficiency to reduce out-of-size material reporting to bin.,Done,,RCA_over size bin jamm.pptx,Operational Practices: Feeding sequence and loading pattern leading to segregation/compaction,Regular cleaning and inspection of oversize bin and chute.,,24-Jul-25,Done,24-Jul-25,,,,
112,24-Jul-25,BNFC,Mechanical,Filter Press-6,Master plate damage P.P.welding work and 'O' ring group making work done,45,No,Damaged area PP welding & 'O' ring groove repairing work done,Done,28-Jul-25,RCA- Filter press - 2.pptx,"The master plate was damaged because repeated mechanical stress caused cracking or deformation in the O-ring groove area, which went unnoticed until failure.","The damaged area on the master plate was repaired by  PP welding, and the O-ring groove was re-shaped to restore proper sealing.
",Mr Debashis Jena,27-Jul-25,Done,26-Jul-25,,,,
113,24-Jul-25,BNFC,Mechanical,Filter Press-7,"drive side shifter chain line broken, re joint work done",60,No,Chain rejoint work done,Done,27-Jul-25,RCA- Filter press - 7.pptx,Chain tension loose and low lub ,1 nos Shifter chain link replaced with new one.,Mr Debashis Jena,27-Jul-25,Done,26-Jul-25,,,,
114,24-Jul-25,Pellet-2,Mechanical,C-13,DDV flap fitting work,58,No,1) Flap plate fitted 2) Base bolt tightening done,Done,,DDV RCA.pdf,,,,,,,,,,
115,25-Jul-25,Pellet-2,Mechanical,Wide Belt,due to overload the teflon bush broke,50,Stop,1) Damage teflon bush replaced,Done,,WIDE BELT RCA.pdf,,,,,,,,,,
116,25-Jul-25,BNFC,Mechanical,Filter Press-2,Feed valve damage and leakage,39,No,Damaged Valve was replaced by a spare one,Done,28-Jul-25,RCA_FP 2.pptx,Seal was worn out due to abrasive material (dense),Valve was changed as per requirement,Mr Debashis Jena,28-Jul-25,Done,27-Jul-25,,,,
117,26-Jul-25,Pellet-1,Mechanical,BC-2B,cut mark at the center of belt,90,No,Belt Patching done at the cut mark section,Done,,RCA BC-2B BELT CUT MARK,Foreign object stuck to the scrapper, Regularly inspect and maintain screening system to ensure effectiveness,,26-Jul-25,Done,26-Jul-25,,,,
118,27-Jul-25,BNFC,Mechanical,Filter Press-5,plate shifter chain link damage.,115,No,Chain rejoint work done,Done,30-Jul-25,RCA- Filter press 5.pptx,Chain tension loose and low lub ,2 nos of Shifter chain link replaced with new one.,Mr Debashis Jena,30-Jul-25,Done,29-Jul-25,,,,
119,28-Jul-25,Pellet-1,Mechanical,NFC-5,1 no. guide roller and 1 no. impact idler damage,32,No,,Not required,,,,,,,,,,,,
120,29-Jul-25,BNFC,Process,Stack sizer -3,oversize line jam,55,Stop,Clean and inspect over size line regularly .,Done,,RCA_of stack sizer - 3 over size  jamm (1).pptx,Material bulid up blocked the sheet and jam the over size line .,Increase flushing water percentage .,,2-Aug-25,Done,2-Aug-25,,Quality of RCA requires to improve. Please discuss with RCA team.  HOD COMMENTS - We have already taken steps to procure 8 deck stack sizer for better screening efficiency,,
121,30-Jul-25,Pellet-2,Process,"U/S roller 20,21,44",motor tripped due to material jam,73,No,,Done,,,,,,,,,,,,
122,30-Jul-25,Pellet-2,Mechanical,U/S roller screen  ,44 no. motor gearbox replacement,44,No,1) Damage motor gearbox replacement done,Done,,UNDER SIZE ROLLER SCREEN RCA.pdf,,,,,,,,,,
123,30-Jul-25,BNFC,Mechanical,Filter Press-2,feed line leakage found.,90,No,,Not required,,,,,,,,,,,,
124,31-Jul-25,BNFC,E & I,HT ball Mill,HT Ball mill Trip,25,Stop,HT Ball Mill all Feedback cable tightness Done,Not required,,,,,,,,,,,,
125,1-Aug-25,BNFC,Mechanical,RM-3 ,hopper vibro feeder not working properly,40,Stop,,Not required,,,,,,,,,,,,
126,2-Aug-25,Pellet-1,E & I,Cooler DDP trolly,Cooler DDP trolly not running,480,No,Motor changed,Not required,,,,,,,,,,,,
127,2-Aug-25,BNFC,Mechanical,Filter press -5,shifter chain pin broken from the joint ,71,Speed loss,Chain rejoint work done,Done,,fp  5 aug.pptx,Chain tension loose and low lub ,Chain link changed,,6-Aug-25,Done,6-Aug-25,,This failure is repeatedly occuring. Better analysis required . Please contact RCA team.HOD Comments  - All filters cat shifter chain life is already achieved replacement work under progress Procuring from china OEM,,
128,3-Aug-25,Pellet-1,Mechanical,Balling Disc -1,Top Scrapper broken,200,Speed loss,New top scrapper replacement work was done.,Done,,RCA balling Disc-1 top scrapper,Stone-contaminated feed was not properly bypassed.,1. New top scrapper replacement work done.,,8-Mar-25,Done,8-Mar-25,,,,
,,,,,,,,,,,,,2. Continue bypassing stone-contaminated feed until stones are effectively removed.,,,Done,,,,,
129,3-Aug-25,Pellet-1,Mechanical,Balling Disc -3,Disc feeder liner came out,73,Speed loss,Stucked liner plate removed from the Disc feeder-6 discharge position.,Done,,"RCA BD-3, Disc feeder-6","1.The liner plate bolts experienced wear and tear over time due to prolonged use.
2.The last scheduled Preventive maintenance was skipped.",1. Stucked liner plate removed from the Discfeeder-6 discharge position.,,8-Mar-25,Done,8-Mar-25,,,,
,,,,,,,,,,,,,2. Adhere to preventive maintenance schedule to prevent similar issues.,,,Done,,,,,
,,,,,,,,,,,,,3. Replacing worn-out parts to prevent future failures.,,,Done,,,,,
130,3-Aug-25,BNFC,Mechanical,Filter press-1,Fix plate cloth an dplate polymer flange are damage.,120,No,,Not required,,,,,,,,,,,,
131,4-Aug-25,BNFC,Process,Old Ground Hopper,Due to the moisture material coming,90,Stop,Hopper Cleaning,Done,19-Aug-25,RCA OLD GROUND HOPPER.pptx,Due to the moisture material coming,Material Has Been Changed,Mr Manish Singh,4-Aug-25,Done,19-Aug-25,,Quality of RCA requires to improve. Please discuss with RCA team. HOD Comments - During rainy season moisture was high in iron fines. Now we have already planned to change its grizzly from 100X100 mm to 150X150mm. ,,
132,4-Aug-25,BNFC,Process,HT ball Mill,Mill discharge jammed.,285,Stop,Discharge line cleaning,Done,21-Aug-25,RCA_HT_BALLMILL_DISCHARGE.pptx,"The HDPE pipe broke because it was placed right after the pump where the slurry is rough and fast, and this pipe material can’t handle that kind of wear.","1.The leaking HDPE pipe section was replaced with a new, defect-free piece ensuring proper alignment and fit.",Mr Manish Singh,4-Aug-25,Done,21-Aug-25,,,,
133,5-Aug-25,Pellet-2,E & I,ID fan-1,B-Phase Cable Lugs & Bolt Overheating For Which ID Fan-1 Was Stopped For Preventive Maintenance,35,Speed loss,"GI Nut Bolts Replaced to SS Nut Bolts, 280mm Cooling Fan Installed",Done,,RCA Link,"As The ID Fan & Chimney Area is High Sulphur(So2) Emitting Area.
The Sulphur Becomes Sulphuric Acid (H2So4) In Contact With Air & Moisture.
These Sulphuric Acid Gets Composited on Copper Bus Bar, SS Nut, Bolt, Washer, GI Lugs & Cable Tray Causing the Outer Layers Fade & Exposing the Internal Iron Metal.
The Whole Phenomenon Caused Performance Losses.
","For Excess Heat Control We Have Installed a Bigger Panel Cooling Fan From 140mm to 280mm For More Efficient Panel Cooling, Now Temp is at 51°c.
GI Type Nut, Bolt & Washers Replaced by SS Type Which Are Better in H2So4 Resistant.
Also, There is Proposed Plan to Shift the ID Fan Local JB to a Safer Location to Avoid Such Conditions.
",,,Done,,,,,
134,7-Aug-25,BNFC,Mechanical,DD Screen-2,Lower deck mesh was removed,45,Stop,mesh change,Done,,DD SCREEN - 2 7AUG.pptx,grazzly oppning 200 x 200 mm due to rainy seasson,GRAZZLY  OPPNING CHANGE TO 200MM X 100MM,,9-Aug-25,Done,9-Aug-25,,"Quality of RCA requires to improve. Please discuss with RCA team. HOD Comments -  Due to moist material, grizzly size increased to pass moist material. So due to grizzly size big stone came to DD Screen and Mat damaged. We have been taken care for future.",,
135,8-Aug-25,BNFC,Mechanical,Filter press-1,Back blow line hose short piece leakage,69,No,,Not required,,,,,,,,,,,,
136,9-Aug-25,BNFC,Process,PBM,Feed chute jam,252,Stop,feed stop and cleaning  feed chute .,Done,,RCA_of PBM feed spout jamm.pptx,circuit inlet so over size material ,feed stop and circuit stop  and clear the chute .,,10-Aug-25,Done,11-Aug-25,,,,
137,10-Aug-25,BNFC,Mechanical,Weigh Feeder-2,plummer block and bearing damage,225,Speed loss,1 - plumber block changed,Done,,RCA_WF-2 (10.08.25).pptx,The tail end plummer block and bearing failed because oversized material entered the tail pulley,"Replaced damaged plummer block and bearing at the tail end of Weigh Feeder-2.,
Checked and realigned the tail pulley and shaft.",,17-Aug-25,Done,15-Aug-25,,Analysis not satisfactory.  Please discuss with RCA team. HOD Comments - Due to high moist material Bin hanged. During Bin cleaning through air blaster suddenly material collapsed and big stone stuck between belt and pulley.,,
138,10-Aug-25,BNFC,Mechanical,Filter Press-1,Feed end side fixed plate and cloth damage,67,No,,Not required,,,,,,,,,,,,
139,10-Aug-25,Pellet-2,Mechanical,C-8,Stone stucked in the chute and belt torn out,267,Stop,Belt replaced,Not required,,,Due to LD sludge feeding stone stucked in the chute,,,,,,,,,
140,10-Aug-25,Pellet-2,Mechanical,C-9,Stone stucked,120,No,Stone removed & chute modificated,Not required,,,Due to LD sludge feeding stone stucked in the chute,,,,,,,,,
141,12-Aug-25,BNFC,Mechanical,Filter Press-2,"Flange of fix plate not so good, so flange change as well as membrane plate change.",65,No,,Not required,,,,,,,,,,,,
142,12-Aug-25,BNFC,Mechanical,Filter Press-3,Feed side NRV gasket damage,75,No,,Not required,,,,,,,,,,,,
143,12-Aug-25,BNFC,Mechanical,Filter Press-2,Drive side plate shifter chain link damage,50,No,chain link change,Done,,fp-2 12aug.pptx,Chain tension loose and low lub ,Chain link changed,,13-Aug-25,Done,13-Aug-25,,In future please attach picture of the failed object for proper analysis. HOD Comments - Okay noted,,
144,13-Aug-25,Pellet-1,Mechanical,BC-2,BC-2 conveyor belt cut entirely along the center,180,Stop,Damaged belt replaced with a new one,Done,,BC-2 RCA, A foreign object stuck between the feed chute and conveyor belt due to screenig & Magnet system not effectively remove the foreign object.,1. Damaged belt replaced with a new one.,,13-Aug-25,Done,13-Aug-25,,,,
,,,,,,,,,,,,,"2.  Regularly inspect, clean and maintain screening & Magnet system to ensure effectiveness",,,Done,,,"Picture of  cut belt could have  given an indication suggesting the cut  is initiated by a sharp object or by any other material.  Being  a critical belt, it is suggested to install a camera at the discharge side and one focussing at the receiving side.  Feasibity of installation has been checked by advisor instrumentation.",,
145,15-Aug-25,BNFC,Process,Old thickener,high torque,420,No,,Done,19-Aug-25,RCA Link,Thickener material poor settling.,1.Increase flocculant preparation from -0.05 % to 0.1 %.,Mr Manish Singh,15-Aug-25,Done,19-Aug-25,,Wrong RCA report link attached.,,
146,15-Aug-25,BNFC,Process,RM-3A, discharge chute jam,110,No,chute cleaning ,Done,19-Aug-25,RCA Link,Due to the moisture material coming,"Material Has been Changed,Training of operator for cleaning .
",Mr Manish Singh,15-Aug-25,Done,19-Aug-25,,Responsibility with target date & signature to be added in the report.,,
147,17-Aug-25,BNFC,Process,Hydro cyclone-3, Under flow line,210,Stop,clear underflow line,Done,19-Aug-25,Hydrocyclone-3.pdf,A apex found from cyclone under flow line ,Training operator and  create awarness,Mr Manish Singh,18-Aug-25,Done,26-Aug-25,,ok,,
148,17-Aug-25,BNFC,E & I,HT ball Mill & Old ball mill,"Stopped,DCS controller hang and its communication to IO module stopped. DCS room temperature risen to more than 40 degree celsius.",210,Stop,"DCS DI module changed ,Separate AHU unit provided for temperature control ",Done,,RCA Link,"DCS Di module & base malfunctioning due to surge ,causing all downstream equipments to stop ","Dcs DI module & base replaced,Separate Earthing provided for surge protection,Separate AHU also installed for temperature control",,30-Aug-25,Done,25-Aug-25,,"1.0  RCA  done nicely  but to be signed by the members.  
2.0  Fault fixing has taken lot of time. Has any provision been made in the system for quicker debugging of the fault in future ?                                                                                                              HOD Comments :-                                                                                           
1.0. Signed Documents Attached.                                                     
2.0.We have gone through the rectification process step by step by installing the selection blocks, aslo we had consult the honeywell service engineer regarding the problem & he also confirm that this was the right approach to solve such problem.",,
149,19-Aug-25,BNFC,Mechanical,RC-2,belt was tored out,230,Speed loss,"1- damage belt changed
",Done,,RCA Link,The over size material jammed the scrapper and pulley,Daily inspection conduct,,25-Aug-25,Done,22-Aug-25,,RCA report link does not include CAPA indicating responsibility with target date.,,
150,22-Aug-25,BNFC,Mechanical,Weigh Feeder-4,tail pulley adjustment thread rod support plate broken near plummer block side.,78,Speed loss,"•Broken support plate replaced with a new, strengthened plate.",Done,,RCA Link,"No proper space available for inspection of the support plate, hence its poor condition went unnoticed.
","Replaced the broken support plate with a new, strengthened plate.
Reinforced the nut support area by welding and hardening.
Checked and corrected alignment of tail pulley.
Lubricated and re-fitted the adjustment thread rod and nut.
Cleaned the surrounding area for temporary inspection access.
",,23-Aug-25,Done,23-Aug-25,,"RCA is not done properly,  please discuss with RCA team.",,
151,22-Aug-25,PGP,Mechanical,PGP-4, Leakage found in ash skirt,940,No,leakage arresting work done,Done,,ash skirt,,,,,,,,RCA  requires improvement. Please discuss with RCA team.,,
152,22-Aug-25,PGP,Mechanical,PGP-4(ASH SKIRT),ASH SKIRT FOUND LEAKAGE ,940,No,new patching ms plate fitting and welding,Done,,DONE,,,,,,,,,,
153,24-Aug-25,Pellet-1,E & I,DCS Panel,DCS Panel Communication Failure,338,Stop,Server Load Reduced,Done,,RCA Link,,"Top Most Management Has Decided to Reduce 2nd Most Priority Clients From the Running Server on Immediate Basis.

Separate OPC Server Has Been Established to Record the All the Data Which Will Reduce Extra Load From Server.
",,25-Aug-25,Done,25-Aug-25,,Approach  is  okay.  Please get the  document signed.                                                                                                                                  HOD Comments :- Signed Documents Attached.,,
154,27-Aug-25,PGP,Mechanical,CBC-3,SCAPPER BLADE DAMAGED,115,No,new blade changing work,Not required,,,,,,,,,,,,
155,28-Aug-25,BNFC,Process,Cyclone-3,Oversize line jam,104,Stop,line clear over size ,Done,,RCA Link,Coarse material found in the cyclone due to pressure  cyclone pressure drop .,Clear the underline line jam and feed stop .,,28-Aug-25,Done,29-Aug-25,,"RCA not done correctly, to be discussed with RCA team.
CAPA to be coreected , also include responsibilities with target date and should be signed. HOD Comments - Okay noted will discuss with you.",,
156,29-Aug-25,Pellet-2,Mechanical,Stripper Plate ,Stripper plate bend ,"4,320",Stop,Stripper plate replaced,Done,,"RCA Tracker (Pellet division) - Format, Why,Why.pdf",Due to physical proporties change of stripper plate during running,"Bend Stripper plate replaced ,Physical proporties of stripper plate to be checked before despatch",,,,,,RCA for this is done by RCA team seperately.,,
157,1-Sep-25,BNFC,Mechanical,Filter Press-4 ,Drive side plate shifter chain broken to link pin damage,46,Speed loss,chain link change,Done,,PRESS FILTER 4 SEP.pptx,Chain tension loose and low lub ,Chain link changed,-,2-Aug-25,Done,2-Aug-25,,please attach picture of failed link to fix up cause of failure.  Same failure had occured on 2nd Aug and  12 Aug. Detail analysis required to prevent reoccurance.,,
158,1-Sep-25,BNFC,Mechanical,Filter Press-3 ,Drive side shifter chain broken due to pin damage,56,Speed loss,chain link change,Done,,fp-3.pdf,Chain link quality not good,Chain link replaced by new one,,8-Sep-25,Done,10-Sep-25,,,,
159,1-Sep-25,BNFC,Mechanical,Filter Press-7,Non drive side shifter chain broken due to pin and connecting link plate damage,70,Speed loss,chain link change,Done,,fp-7.pdf,"Chain is old , not changed for a long time",Chain link replaced by new one,,8-Sep-25,Done,10-Sep-25,,,,
160,8-Sep-25,Pellet-1,Mechanical,BC-1,Air bubble formation on carrying side,260,Speed loss,Belt Replacement Done,Done,,BC-1,Manufacturing Defect,Damaged belt replaced with a new one,,8-Sep-25,Done,8-Sep-25,,,,
161,8-Sep-25,Pellet-1,Mechanical,BC-3,bc-3 conv. belt 1 no carrying idler & 1no impact idler damaged,35,Stop,1no carrying & 1 no impact idler replaced,Done,,,IDLER BEARING DAMAGED DUE TO PROLONGED USE & AGING,Damaged idler replaced with a new one,,8-Sep-25,Done,8-Sep-25,,,,
